subject_y	initial_alias	converted_alias	name	description
MCINX2_00002560-RA	FBPP0423034	Syp	Syp	Syncrip
MCINX2_00002563-RA	FBPP0428444	None	None	None
MCINX2_00002565-RA	FBPP0303057	CG43732	CG43732	None
MCINX2_00002570-RA	FBPP0289929	CG13605	CG13605	None
MCINX2_00002571-RA	FBPP0308350	CG18428	CG18428	None
MCINX2_00002572-RA	FBPP0292398	prtp	prtp	pretaporter
MCINX2_00002573-RA	FBPP0085082	wts	wts	warts
MCINX2_00002575-RB	FBPP0083686	CG5377	CG5377	None
MCINX2_00002576-RA	FBPP0083684	CCT1	CCT1	Chaperonin containing TCP1 subunit 1
MCINX2_00002578-RA	FBPP0081618	CG8507	CG8507	None
MCINX2_00002581-RA	FBPP0083948	mask	mask	multiple ankyrin repeats single KH domain
MCINX2_00002583-RA	FBPP0289046	CG42322	CG42322	None
MCINX2_00002584-RA	FBPP0309536	escl	escl	escl
MCINX2_00002585-RA	FBPP0071657	tpr	tpr	tracheal-prostasin
MCINX2_00002586-RA	FBPP0303018	CG4230	CG4230	None
MCINX2_00002588-RA	FBPP0110262	Gyc89Da	Gyc89Da	Guanylyl cyclase at 89Da
MCINX2_00002591-RA	FBPP0311525	CG13321	CG13321	None
MCINX2_00002592-RA	FBPP0083962	mRpS24	mRpS24	mitochondrial ribosomal protein S24
MCINX2_00002593-RA	FBPP0083952	twin	twin	twin
MCINX2_00002598-RA	FBPP0081358	CG11737	CG11737	None
MCINX2_00002604-RA	FBPP0303134	chp	chp	chaoptin
MCINX2_00002607-RA	FBPP0085138	Zwilch	Zwilch	Zwilch
MCINX2_00002608-RA	FBPP0082778	NPF	NPF	neuropeptide F
MCINX2_00002613-RA	FBPP0100132	coil	coil	coilin
MCINX2_00002620-RA	FBPP0309447	YL-1	YL-1	YL-1
MCINX2_00002621-RA	FBPP0083559	CASK	CASK	CASK
MCINX2_00002623-RA	FBPP0289151	CG31609	CG31609	None
MCINX2_00002628-RA	FBPP0083934	Kal1	Kal1	Kallmann syndrome 1
MCINX2_00002629-RA	FBPP0073401	Karl	Karl	Karl
MCINX2_00002630-RA	FBPP0073400	m	m	miniature
MCINX2_00002632-RA	FBPP0083564	RpI12	RpI12	RpI12
MCINX2_00002635-RA	FBPP0071873	CG3085	CG3085	None
MCINX2_00002647-RA	FBPP0084854	Cad99C	Cad99C	Cadherin 99C
MCINX2_00002650-RA	FBPP0310758	CG34402	CG34402	None
MCINX2_00002651-RA	FBPP0082071	DNAlig3	DNAlig3	DNA ligase 3
MCINX2_00002662-RA	FBPP0309628	Vps4	Vps4	Vacuolar protein sorting 4
MCINX2_00002663-RA	FBPP0072674	CG2021	CG2021	None
MCINX2_00002664-RA	FBPP0074508	Shawn	Shawn	Shawn
MCINX2_00002666-RA	FBPP0290922	Men-b	Men-b	Malic enzyme b
MCINX2_00002668-RA	FBPP0390650	pre-mod(mdg4)-AB	pre-mod(mdg4)-AB	None
MCINX2_00002681-RA	FBPP0083576	how	how	held out wings
MCINX2_00002688-RA	FBPP0078948	Nse1	Nse1	Non-SMC element 1
MCINX2_00002689-RA	FBPP0312361	DIP-lambda	DIP-lambda	Dpr-interacting protein lambda
MCINX2_00002694-RA	FBPP0082231	CG9799	CG9799	None
MCINX2_00002695-RA	FBPP0078400	noi	noi	noisette
MCINX2_00002696-RA	FBPP0080551	GCS2beta	GCS2beta	Glucosidase 2 beta subunit
MCINX2_00002700-RA	FBPP0083573	pit	pit	pitchoune
MCINX2_00002707-RA	FBPP0290741	Pxd	Pxd	Peroxidase
MCINX2_00002707-RB	FBPP0307990	Pxd	Pxd	Peroxidase
MCINX2_00002708-RA	FBPP0081791	TkR86C	TkR86C	Tachykinin-like receptor at 86C
MCINX2_00002710-RA	FBPP0076599	MED4	MED4	Mediator complex subunit 4
MCINX2_00002711-RA	FBPP0081988	Dnali1	Dnali1	Dynein axonemal light intermediate chain 1
MCINX2_00002712-RA	FBPP0300855	scrib	scrib	scribble
MCINX2_00002713-RA	FBPP0083127	P5cr	P5cr	Pyrroline 5-carboyxlate reductase
MCINX2_00002721-RA	FBPP0112182	CG7029	CG7029	None
MCINX2_00002723-RB	FBPP0311073	tau	tau	tau
MCINX2_00002725-RA	FBPP0084566	Mlc1	Mlc1	Myosin alkali light chain 1
MCINX2_00002726-RF	FBPP0303143	unc80	unc80	uncoordinated 80
MCINX2_00002727-RA	FBPP0083879	Ndc1	Ndc1	Nuclear division cycle 1
MCINX2_00002728-RA	FBPP0081619	CG8516	CG8516	None
MCINX2_00002729-RA	FBPP0080011	Yip1d1	Yip1d1	Yip1 domain-containing 1
MCINX2_00002731-RA	FBPP0306531	p24-1	p24-1	p24-related-1
MCINX2_00002732-RA	FBPP0088990	Gdh	Gdh	Glutamate dehydrogenase
MCINX2_00002734-RA	FBPP0083767	EloA	EloA	Elongin A
MCINX2_00002735-RA	FBPP0084895	Atg16	Atg16	Autophagy-related 16
MCINX2_00002736-RA	FBPP0084852	neo	neo	neyo
MCINX2_00002737-RA	FBPP0084894	Atg16	Atg16	Autophagy-related 16
MCINX2_00002738-RA	FBPP0310257	DIP-kappa	DIP-kappa	Dpr-interacting protein kappa
MCINX2_00002745-RC	FBPP0084495	CG31064	CG31064	None
MCINX2_00002747-RA	FBPP0072505	hiro	hiro	highroad
MCINX2_00002749-RA	FBPP0082103	trus	trus	toys are us
MCINX2_00002751-RA	FBPP0077999	CG32436	CG32436	None
MCINX2_00002755-RA	FBPP0081458	ATP6AP2	ATP6AP2	ATPase H+ transporting accessory protein 2
MCINX2_00002756-RB	FBPP0081336	stck	stck	steamer duck
MCINX2_00002762-RA	FBPP0302955	qin	qin	qin
MCINX2_00002764-RA	FBPP0288638	CG14301	CG14301	None
MCINX2_00002765-RA	FBPP0297099	CG14304	CG14304	None
MCINX2_00002768-RB	FBPP0083066	fru	fru	fruitless
MCINX2_00002771-RA	FBPP0070414	wapl	wapl	wings apart-like
MCINX2_00002775-RA	FBPP0312359	Abd-B	Abd-B	Abdominal B
MCINX2_00002779-RC	FBPP0082828	abd-A	abd-A	abdominal A
MCINX2_00002784-RB	FBPP0089242	Antp	Antp	Antennapedia
MCINX2_00002787-RA	FBPP0089393	Scr	Scr	Sex combs reduced
MCINX2_00002788-RA	FBPP0081138	Dfd	Dfd	Deformed
MCINX2_00002794-RA	FBPP0290701	Pfdn5	Pfdn5	Prefoldin 5
MCINX2_00002795-RA	FBPP0080044	CG6523	CG6523	None
MCINX2_00002796-RA	FBPP0081525	CG9356	CG9356	None
MCINX2_00002797-RA	FBPP0088835	CREG	CREG	Cellular Repressor of E1A-stimulated Genes
MCINX2_00002799-RA	FBPP0083075	CstF64	CstF64	Cleavage stimulation factor 64 kD subunit
MCINX2_00002800-RA	FBPP0082889	Sur-8	Sur-8	Sur-8
MCINX2_00002801-RA	FBPP0084562	Mtl	Mtl	Mig-2-like
MCINX2_00002802-RA	FBPP0086110	Tes	Tes	Testin
MCINX2_00002804-RA	FBPP0082883	cysu	cysu	Curly Su
MCINX2_00002805-RA	FBPP0081609	Mpi	Mpi	Mannose phosphate isomerase
MCINX2_00002806-RA	FBPP0084461	ro	ro	rough
MCINX2_00002807-RA	FBPP0084672	Hrb98DE	Hrb98DE	Heterogeneous nuclear ribonucleoprotein at 98DE
MCINX2_00002809-RA	FBPP0423042	CG11836	CG11836	None
MCINX2_00002816-RA	FBPP0298301	Tsp26A	Tsp26A	Tetraspanin 26A
MCINX2_00002821-RA	FBPP0294030	cmpy	cmpy	crimpy
MCINX2_00002822-RA	FBPP0084911	CG7896	CG7896	None
MCINX2_00002823-RA	FBPP0081459	Vps16A	Vps16A	Vacuolar protein sorting 16A
MCINX2_00002824-RA	FBPP0307392	CG12054	CG12054	None
MCINX2_00002825-RA	FBPP0085134	ATPsynC	ATPsynC	ATP synthase
MCINX2_00002826-RA	FBPP0112469	vtd	vtd	verthandi
MCINX2_00002827-RA	FBPP0112466	RpL15	RpL15	Ribosomal protein L15
MCINX2_00002830-RC	FBPP0306591	Xrp1	Xrp1	Xrp1
MCINX2_00002832-RA	FBPP0112403	eIF4B	eIF4B	eukaryotic translation initiation factor 4B
MCINX2_00002833-RA	FBPP0305491	FER	FER	FER tyrosine kinase
MCINX2_00002834-RA	FBPP0084874	eIF2Balpha	eIF2Balpha	eukaryotic translation initiation factor 2B subunit alpha
MCINX2_00002835-RA	FBPP0082129	Men	Men	Malic enzyme
MCINX2_00002836-RA	FBPP0289029	Doa	Doa	Darkener of apricot
MCINX2_00002836-RB	FBPP0289025	Doa	Doa	Darkener of apricot
MCINX2_00002837-RB	FBPP0290238	CG33203	CG33203	None
MCINX2_00002841-RA	FBPP0310743	CG45050	CG45050	None
MCINX2_00002844-RA	FBPP0084021	beta-PheRS	beta-PheRS	Phenylalanyl-tRNA synthetase
MCINX2_00002847-RA	FBPP0113023	gfzf	gfzf	GST-containing FLYWCH zinc-finger protein
MCINX2_00002848-RA	FBPP0289636	CG34034	CG34034	None
MCINX2_00002857-RA	FBPP0077586	CG5397	CG5397	None
MCINX2_00002858-RA	FBPP0300271	mod(mdg4)	mod(mdg4)	modifier of mdg4
MCINX2_00002859-RA	FBPP0087050	CG13151	CG13151	None
MCINX2_00002861-RA	FBPP0390656	pre-mod(mdg4)-J	pre-mod(mdg4)-J	None
MCINX2_00002871-RA	FBPP0292469	pre-mod(mdg4)-W	pre-mod(mdg4)-W	None
MCINX2_00002873-RA	FBPP0312471	pre-mod(mdg4)-H	pre-mod(mdg4)-H	None
MCINX2_00002910-RA	FBPP0082806	Scp2	Scp2	Sarcoplasmic calcium-binding protein 2
MCINX2_00002915-RA	FBPP0292355	CCHa2	CCHa2	CCHamide-2
MCINX2_00002917-RA	FBPP0112217	CG14507	CG14507	None
MCINX2_00002918-RA	FBPP0071478	CG30291	CG30291	None
MCINX2_00002919-RA	FBPP0082810	MESK4	MESK4	Misexpression suppressor of KSR 4
MCINX2_00002921-RA	FBPP0290181	fa2h	fa2h	fatty acid 2-hydroylase
MCINX2_00002922-RA	FBPP0082436	put	put	punt
MCINX2_00002923-RA	FBPP0083972	eIF4EHP	eIF4EHP	eukaryotic translation initiation factor 4E homologous protein
MCINX2_00002924-RB	FBPP0083769	Cdc16	Cdc16	Cell division cycle 16
MCINX2_00002925-RA	FBPP0099607	orb	orb	oo18 RNA-binding protein
MCINX2_00002926-RA	FBPP0079708	CG6729	CG6729	None
MCINX2_00002927-RB	FBPP0083768	CG13827	CG13827	None
MCINX2_00002930-RB	FBPP0293588	Epg5	Epg5	ectopic P-granules autophagy protein 5
MCINX2_00002933-RA	FBPP0110268	Lsd-2	Lsd-2	Lipid storage droplet-2
MCINX2_00002934-RA	FBPP0293576	AP-1sigma	AP-1sigma	Adaptor Protein complex 1
MCINX2_00002935-RA	FBPP0292148	CG5961	CG5961	None
MCINX2_00002936-RB	FBPP0293578	CG31140	CG31140	None
MCINX2_00002936-RD	FBPP0290185	CG31140	CG31140	None
MCINX2_00002937-RA	FBPP0082813	CG3534	CG3534	None
MCINX2_00002938-RA	FBPP0082817	Sf3a1	Sf3a1	Splicing factor 3a subunit 1
MCINX2_00002939-RA	FBPP0307010	Lsd-1	Lsd-1	Lipid storage droplet-1
MCINX2_00002941-RA	FBPP0293796	kud	kud	kuduk
MCINX2_00002942-RA	FBPP0292194	CG42727	CG42727	None
MCINX2_00002943-RA	FBPP0292193	CG42726	CG42726	None
MCINX2_00002944-RA	FBPP0083354	EloB	EloB	Elongin B
MCINX2_00002945-RA	FBPP0083415	ppan	ppan	peter pan
MCINX2_00002946-RA	FBPP0070729	Mcm3	Mcm3	Minichromosome maintenance 3
MCINX2_00002947-RA	FBPP0083317	CG5412	CG5412	None
MCINX2_00002948-RA	FBPP0078565	CG1074	CG1074	None
MCINX2_00002949-RA	FBPP0082818	EMC2A	EMC2A	ER membrane protein complex subunit 2A
MCINX2_00002951-RA	FBPP0310713	CG31224	CG31224	None
MCINX2_00002954-RA	FBPP0083882	CG5854	CG5854	None
MCINX2_00002956-RA	FBPP0290244	CG31106	CG31106	None
MCINX2_00002962-RA	FBPP0083166	Ppcs	Ppcs	Phosphopantothenoylcysteine synthetase
MCINX2_00002964-RA	FBPP0305171	Tango10	Tango10	Transport and Golgi organization 10
MCINX2_00002965-RA	FBPP0309663	Fkbp59	Fkbp59	FK506-binding protein 59kD
MCINX2_00002966-RA	FBPP0083069	CG10864	CG10864	None
MCINX2_00002968-RC	FBPP0307743	Apc	Apc	APC-like
MCINX2_00002971-RA	FBPP0307975	CG13850	CG13850	None
MCINX2_00002975-RA	FBPP0082420	CG14853	CG14853	None
MCINX2_00002976-RA	FBPP0084610	ALiX	ALiX	ALG-2 interacting protein X
MCINX2_00002977-RB	FBPP0070040	ND-MLRQ	ND-MLRQ	NADH dehydrogenase (ubiquinone) MLRQ subunit
MCINX2_00002978-RA	FBPP0307973	mats	mats	mob as tumor suppressor
MCINX2_00002979-RA	FBPP0082897	SF1	SF1	Splicing factor 1
MCINX2_00002980-RA	FBPP0084464	SPARC	SPARC	Secreted protein
MCINX2_00002982-RA	FBPP0083084	ChT	ChT	Choline transporter
MCINX2_00002986-RA	FBPP0082319	sqd	sqd	squid
MCINX2_00002987-RA	FBPP0082263	CG10841	CG10841	None
MCINX2_00002990-RA	FBPP0088397	ChAT	ChAT	Choline acetyltransferase
MCINX2_00002991-RA	FBPP0303771	Mekk1	Mekk1	Mekk1
MCINX2_00003004-RA	FBPP0082932	Pxt	Pxt	Peroxinectin-like
MCINX2_00003006-RA	FBPP0081987	Cad87A	Cad87A	Cadherin 87A
MCINX2_00003009-RA	FBPP0082777	CG14892	CG14892	None
MCINX2_00003010-RA	FBPP0082805	CG10345	CG10345	None
MCINX2_00003011-RA	FBPP0423404	Iyd	Iyd	Iodotyrosine deiodinase
MCINX2_00003012-RA	FBPP0297718	CG9626	CG9626	None
MCINX2_00003015-RA	FBPP0310537	plum	plum	plum
MCINX2_00003017-RA	FBPP0428434	None	None	None
MCINX2_00003022-RA	FBPP0082835	Dad	Dad	Daughters against dpp
MCINX2_00003023-RA	FBPP0081788	CG31272	CG31272	None
MCINX2_00003042-RA	FBPP0086240	Syn2	Syn2	Syntrophin-like 2
MCINX2_00003043-RA	FBPP0087983	Corin	Corin	Corin
MCINX2_00003047-RA	FBPP0074426	shop	shop	shopper
MCINX2_00003048-RA	FBPP0078348	Rev7	Rev7	DNA polymerase zeta Rev7 subunit
MCINX2_00003055-RA	FBPP0304311	CG43795	CG43795	None
MCINX2_00003061-RA	FBPP0080274	ZnT35C	ZnT35C	Zinc transporter 35C
MCINX2_00003062-RA	FBPP0083984	shps	shps	sheepish
MCINX2_00003063-RA	FBPP0076954	CG32512	CG32512	None
MCINX2_00003064-RA	FBPP0078887	Fic	Fic	Fic domain-containing protein
MCINX2_00003065-RA	FBPP0073331	Klp10A	Klp10A	Kinesin-like protein at 10A
MCINX2_00003066-RA	FBPP0303404	PSR	PSR	phosphatidylserine receptor
MCINX2_00003067-RA	FBPP0081947	COX5A	COX5A	Cytochrome c oxidase subunit 5A
MCINX2_00003068-RC	FBPP0100035	ewg	ewg	erect wing
MCINX2_00003069-RA	FBPP0070924	Coq7	Coq7	Coenzyme Q7
MCINX2_00003072-RA	FBPP0309087	shf	shf	shifted
MCINX2_00003074-RA	FBPP0297081	Nrg	Nrg	Neuroglian
MCINX2_00003085-RC	FBPP0084287	CG14545	CG14545	None
MCINX2_00003092-RA	FBPP0087859	Tmem63	Tmem63	Transmembrane protein 63
MCINX2_00003093-RA	FBPP0075209	SsRbeta	SsRbeta	Signal sequence receptor beta
MCINX2_00003095-RA	FBPP0077702	CG3862	CG3862	None
MCINX2_00003096-RA	FBPP0078361	MED27	MED27	Mediator complex subunit 27
MCINX2_00003105-RA	FBPP0076273	Argk	Argk	Arginine kinase
MCINX2_00003106-RA	FBPP0099893	primo-1	primo-1	primo-1
MCINX2_00003107-RA	FBPP0112333	Adi1	Adi1	Acireductone dioxygenase 1
MCINX2_00003108-RA	FBPP0307236	CG12991	CG12991	None
MCINX2_00003114-RA	FBPP0290950	CG2256	CG2256	None
MCINX2_00003116-RA	FBPP0071071	Ldsdh1	Ldsdh1	Lipid droplet subset dehydrogenase 1
MCINX2_00003117-RA	FBPP0072110	CG3860	CG3860	None
MCINX2_00003120-RA	FBPP0086892	CG13326	CG13326	None
MCINX2_00003122-RA	FBPP0080328	Gli	Gli	Gliotactin
MCINX2_00003127-RA	FBPP0308688	Chrac-16	Chrac-16	Chromatin accessibility complex 16kD protein
MCINX2_00003129-RA	FBPP0087473	Pal1	Pal1	Peptidyl-alpha-hydroxyglycine-alpha-amidating lyase 1
MCINX2_00003130-RA	FBPP0293656	CG2906	CG2906	None
MCINX2_00003131-RA	FBPP0310802	PIG-Z	PIG-Z	Phosphatidylinositol glycan anchor biosynthesis class Z
MCINX2_00003132-RA	FBPP0073826	HDAC6	HDAC6	Histone deacetylase 6
MCINX2_00003133-RA	FBPP0085393	CG7791	CG7791	None
MCINX2_00003134-RA	FBPP0087897	Cul4	Cul4	Cullin 4
MCINX2_00003138-RB	FBPP0079943	Rab6	Rab6	Rab6
MCINX2_00003139-RA	FBPP0087734	CG8237	CG8237	None
MCINX2_00003141-RA	FBPP0085236	krz	krz	kurtz
MCINX2_00003142-RA	FBPP0071455	CG9346	CG9346	None
MCINX2_00003143-RA	FBPP0311836	CG1835	CG1835	None
MCINX2_00003145-RA	FBPP0304032	Klp31E	Klp31E	Kinesin-like protein at 31E
MCINX2_00003149-RA	FBPP0291652	lft	lft	lowfat
MCINX2_00003150-RA	FBPP0311520	CG11279	CG11279	None
MCINX2_00003152-RA	FBPP0080823	CG10194	CG10194	None
MCINX2_00003154-RA	FBPP0079589	CG5022	CG5022	None
MCINX2_00003155-RA	FBPP0087142	eEF1alpha1	eEF1alpha1	eukaryotic translation elongation factor 1 alpha 1
MCINX2_00003156-RA	FBPP0087004	Ak6	Ak6	Adenylate kinase 6
MCINX2_00003157-RA	FBPP0087164	ERp60	ERp60	Endoplasmic reticulum p60
MCINX2_00003158-RA	FBPP0080153	CG9008	CG9008	None
MCINX2_00003161-RA	FBPP0087493	egr	egr	eiger
MCINX2_00003162-RA	FBPP0087497	CG2269	CG2269	None
MCINX2_00003163-RA	FBPP0087293	CG9084	CG9084	None
MCINX2_00003164-RA	FBPP0080413	PRL-1	PRL-1	PRL-1 phosphatase
MCINX2_00003165-RA	FBPP0087159	PI31	PI31	Proteasome inhibitor 31 kDa
MCINX2_00003168-RA	FBPP0302988	Khc-73	Khc-73	Kinesin heavy chain 73
MCINX2_00003170-RA	FBPP0307750	Dhc93AB	Dhc93AB	Dynein heavy chain at 93AB
MCINX2_00003171-RC	FBPP0087145	exp	exp	expansion
MCINX2_00003171-RD	FBPP0087146	exp	exp	expansion
MCINX2_00003173-RA	FBPP0083169	CG3734	CG3734	None
MCINX2_00003175-RA	FBPP0070221	Lrpprc2	Lrpprc2	Leucine-rich pentatricopeptide repeat containing 2
MCINX2_00003181-RA	FBPP0304667	CG8028	CG8028	None
MCINX2_00003185-RB	FBPP0309966	kcc	kcc	kazachoc
MCINX2_00003187-RA	FBPP0303858	CG3609	CG3609	None
MCINX2_00003188-RA	FBPP0074729	Oat	Oat	Ornithine aminotransferase precursor
MCINX2_00003189-RA	FBPP0297827	CG43346	CG43346	None
MCINX2_00003190-RA	FBPP0072458	CG3402	CG3402	None
MCINX2_00003191-RA	FBPP0076005	ND-13B	ND-13B	NADH dehydrogenase (ubiquinone) 13 kDa B subunit
MCINX2_00003192-RA	FBPP0080111	p38b	p38b	p38b MAP kinase
MCINX2_00003193-RA	FBPP0080329	ND-B17	ND-B17	NADH dehydrogenase (ubiquinone) B17 subunit
MCINX2_00003194-RA	FBPP0076710	Tnpo	Tnpo	Transportin
MCINX2_00003195-RA	FBPP0073599	dmrt11E	dmrt11E	doublesex-Mab related 11E
MCINX2_00003196-RA	FBPP0297722	CG8950	CG8950	None
MCINX2_00003198-RA	FBPP0291186	CG33096	CG33096	None
MCINX2_00003200-RA	FBPP0072612	sturkopf	sturkopf	sturkopf
MCINX2_00003204-RA	FBPP0303870	rost	rost	rolling stone
MCINX2_00003207-RA	FBPP0080430	CG5953	CG5953	None
MCINX2_00003208-RA	FBPP0303895	CG43778	CG43778	None
MCINX2_00003209-RA	FBPP0304633	Ca-Ma2d	Ca-Ma2d	Ca[2+] channel Muscle-specific alpha2/delta subunit
MCINX2_00003210-RA	FBPP0293237	stj	stj	straightjacket
MCINX2_00003211-RA	FBPP0080024	mRF1	mRF1	mitochondrial translation release factor 1
MCINX2_00003216-RA	FBPP0084145	fd96Ca	fd96Ca	forkhead domain 96Ca
MCINX2_00003219-RA	FBPP0087187	wal	wal	walrus
MCINX2_00003220-RA	FBPP0088417	pr	pr	purple
MCINX2_00003221-RA	FBPP0303611	bwa	bwa	brain washing
MCINX2_00003223-RA	FBPP0079550	Snx17	Snx17	Sorting nexin 17
MCINX2_00003224-RA	FBPP0084648	UQCR-14L	UQCR-14L	Ubiquinol-cytochrome c reductase 14 kDa subunit-like
MCINX2_00003225-RA	FBPP0308231	CG44243	CG44243	None
MCINX2_00003226-RA	FBPP0307459	CG6739	CG6739	None
MCINX2_00003227-RB	FBPP0086382	Shark	Shark	SH2 ankyrin repeat kinase
MCINX2_00003228-RA	FBPP0080314	CG18480	CG18480	None
MCINX2_00003230-RA	FBPP0080319	Mtr4	Mtr4	Mtr4 helicase
MCINX2_00003235-RA	FBPP0088443	ptc	ptc	patched
MCINX2_00003237-RA	FBPP0086641	LamC	LamC	Lamin C
MCINX2_00003238-RA	FBPP0074793	MESR6	MESR6	Misexpression suppressor of ras 6
MCINX2_00003239-RA	FBPP0288670	InR	InR	Insulin-like receptor
MCINX2_00003242-RA	FBPP0074883	CG4306	CG4306	None
MCINX2_00003243-RA	FBPP0290271	CG34367	CG34367	None
MCINX2_00003245-RA	FBPP0085904	imd	imd	immune deficiency
MCINX2_00003247-RA	FBPP0086732	Ctf4	Ctf4	Chromosome transmission fidelity 4
MCINX2_00003248-RA	FBPP0085889	Eip55E	Eip55E	Ecdysone-induced protein 55E
MCINX2_00003250-RA	FBPP0303126	Gem2	Gem2	Gemin 2
MCINX2_00003251-RA	FBPP0081910	Blm	Blm	Bloom syndrome helicase
MCINX2_00003252-RA	FBPP0428266	CG46463	CG46463	None
MCINX2_00003253-RA	FBPP0080722	hook	hook	hook
MCINX2_00003256-RA	FBPP0296984	nw	nw	narrow
MCINX2_00003258-RA	FBPP0073569	CG12723	CG12723	None
MCINX2_00003259-RA	FBPP0085101	CG11318	CG11318	None
MCINX2_00003260-RA	FBPP0084822	CG15506	CG15506	None
MCINX2_00003265-RA	FBPP0087515	Cdc2rk	Cdc2rk	Cdc2-related kinase
MCINX2_00003267-RA	FBPP0086423	tun	tun	tungus
MCINX2_00003268-RA	FBPP0078922	CG11050	CG11050	None
MCINX2_00003269-RA	FBPP0082773	CG17931	CG17931	None
MCINX2_00003270-RA	FBPP0084520	CG6277	CG6277	None
MCINX2_00003276-RA	FBPP0079425	Oatp30B	Oatp30B	Organic anion transporting polypeptide 30B
MCINX2_00003278-RA	FBPP0085875	rswl	rswl	roswell
MCINX2_00003279-RA	FBPP0082058	pps	pps	protein partner of snf
MCINX2_00003280-RA	FBPP0075104	eIF3e	eIF3e	eukaryotic translation initiation factor 3 subunit e
MCINX2_00003282-RA	FBPP0099679	mRpL53	mRpL53	mitochondrial ribosomal protein L53
MCINX2_00003283-RA	FBPP0086740	AGO1	AGO1	Argonaute-1
MCINX2_00003284-RB	FBPP0309317	CG5174	CG5174	None
MCINX2_00003287-RB	FBPP0086737	Rpn13	Rpn13	Regulatory particle non-ATPase 13
MCINX2_00003289-RB	FBPP0087200	shn	shn	schnurri
MCINX2_00003290-RA	FBPP0111294	Rpb12	Rpb12	Rpb12
MCINX2_00003291-RA	FBPP0311516	CG14464	CG14464	None
MCINX2_00003293-RA	FBPP0081561	nmdyn-D7	nmdyn-D7	nmdyn-D7
MCINX2_00003296-RA	FBPP0288510	CG33003	CG33003	None
MCINX2_00003297-RA	FBPP0079891	CG6785	CG6785	None
MCINX2_00003300-RA	FBPP0099391	capt	capt	capulet
MCINX2_00003302-RA	FBPP0306840	Naprt	Naprt	Nicotinate phosphoribosyltransferase
MCINX2_00003304-RA	FBPP0288697	yki	yki	yorkie
MCINX2_00003312-RA	FBPP0292098	GLS	GLS	Glutaminase
MCINX2_00003313-RA	FBPP0085893	mRpS28	mRpS28	mitochondrial ribosomal protein S28
MCINX2_00003314-RA	FBPP0072130	Upf3	Upf3	Upf3
MCINX2_00003315-RA	FBPP0071509	Lapsyn	Lapsyn	Leucine-rich repeat activity-regulated protein at synapses
MCINX2_00003316-RA	FBPP0077260	msl-2	msl-2	male-specific lethal 2
MCINX2_00003318-RA	FBPP0073199	dyl	dyl	dusky-like
MCINX2_00003321-RA	FBPP0073243	CG2145	CG2145	None
MCINX2_00003322-RB	FBPP0087606	CG1814	CG1814	None
MCINX2_00003323-RA	FBPP0072893	rasp	rasp	rasp
MCINX2_00003327-RA	FBPP0309745	a	a	arc
MCINX2_00003328-RA	FBPP0309486	ND-24	ND-24	NADH dehydrogenase (ubiquinone) 24 kDa subunit
MCINX2_00003334-RA	FBPP0086631	Su(var)2-HP2	Su(var)2-HP2	Su(var)2-HP2
MCINX2_00003339-RA	FBPP0079616	holn1	holn1	hole-in-one
MCINX2_00003343-RE	FBPP0291371	Sema1b	Sema1b	Semaphorin 1b
MCINX2_00003344-RA	FBPP0292883	CG18661	CG18661	None
MCINX2_00003345-RA	FBPP0087517	PIG-N	PIG-N	Phosphatidylinositol glycan anchor biosynthesis class N
MCINX2_00003348-RB	FBPP0081214	CG10286	CG10286	None
MCINX2_00003349-RA	FBPP0304057	CG5381	CG5381	None
MCINX2_00003350-RA	FBPP0071851	CG4329	CG4329	None
MCINX2_00003351-RA	FBPP0073017	Sc2	Sc2	Sc2
MCINX2_00003352-RC	FBPP0085961	Hsf	Hsf	Heat shock factor
MCINX2_00003353-RA	FBPP0087767	CG8272	CG8272	None
MCINX2_00003355-RA	FBPP0292052	Oaz	Oaz	O/E-associated zinc finger protein
MCINX2_00003359-RA	FBPP0100138	sau	sau	sauron
MCINX2_00003360-RA	FBPP0312204	bgm	bgm	bubblegum
MCINX2_00003362-RA	FBPP0310533	dgrn	dgrn	degringolade
MCINX2_00003364-RA	FBPP0073387	RpII215	RpII215	RNA polymerase II 215kD subunit
MCINX2_00003365-RA	FBPP0071688	ari-2	ari-2	ariadne 2
MCINX2_00003366-RA	FBPP0111675	CG34457	CG34457	None
MCINX2_00003367-RA	FBPP0428103	CG34347	CG34347	None
MCINX2_00003369-RA	FBPP0300820	bbg	bbg	big bang
MCINX2_00003370-RA	FBPP0073155	nAChRbeta1	nAChRbeta1	nicotinic Acetylcholine Receptor beta1
MCINX2_00003371-RA	FBPP0087507	Pfk	Pfk	Phosphofructokinase
MCINX2_00003372-RA	FBPP0070162	TRAM	TRAM	TRAM
MCINX2_00003373-RA	FBPP0086574	hui	hui	hase und igel
MCINX2_00003374-RA	FBPP0302785	Ars2	Ars2	Arsenic resistance protein 2
MCINX2_00003375-RA	FBPP0310086	CG3376	CG3376	None
MCINX2_00003376-RA	FBPP0078970	Rca1	Rca1	Regulator of cyclin A1
MCINX2_00003378-RB	FBPP0293450	wry	wry	weary
MCINX2_00003379-RA	FBPP0289766	grh	grh	grainy head
MCINX2_00003380-RA	FBPP0079541	eEF1delta	eEF1delta	eukaryotic translation elongation factor 1 delta
MCINX2_00003381-RA	FBPP0080822	CG10189	CG10189	None
MCINX2_00003382-RA	FBPP0110433	CkIIalpha	CkIIalpha	casein kinase IIalpha
